bucket,count,median_error_h,mean_error_h,p90_error_h
< 1 day,86,76.83493388888888,96.14789310723516,177.6969838888889
1 day,90,76.5374361111111,102.92190823333334,226.1735525555557
1-3 days,157,72.31550611111112,87.74897701627742,177.58394400000003
3-7 days,133,44.361248333333315,62.27286293984964,146.56967006666665
1-4 weeks,263,198.37163111111113,240.21504481368822,479.4298977777779
> 4 weeks,167,1008.737441111111,1078.6244263160345,1663.494371288889
