actual_bucket,< 1 day,1 day,1-3 days,3-7 days,1-4 weeks,> 4 weeks
< 1 day,0,4,40,34,8,0
1 day,0,1,32,39,18,0
1-3 days,0,1,37,78,41,0
3-7 days,0,1,26,71,35,0
1-4 weeks,0,2,41,124,94,2
> 4 weeks,0,2,13,65,86,1
