feature,importance
word_count,0.06646702
pca_4,0.03499386
pca_0,0.026944323
pca_1,0.024762375
pca_9,0.022377256
pca_2,0.020423232
pca_7,0.01929916
pca_3,0.019178163
pca_19,0.01877807
pca_17,0.01828453
text_length,0.017841682
pca_8,0.017175263
pca_16,0.017046835
pca_40,0.017033651
pca_18,0.016995035
