actual_bucket,< 1 day,1 day,1-3 days,3-7 days,1-4 weeks,> 4 weeks
< 1 day,0,0,1,84,1,0
1 day,0,0,1,89,0,0
1-3 days,0,0,4,150,3,0
3-7 days,0,0,4,127,2,0
1-4 weeks,0,0,4,258,1,0
> 4 weeks,0,0,1,166,0,0
