bucket,count,median_error_h,mean_error_h,p90_error_h
< 1 day,86,126.28675222222222,122.92313177002588,128.52716888888887
1 day,90,112.37827999999999,109.12776162222221,120.39983555555554
1-3 days,157,84.01591888888888,82.42202237225759,104.17241888888887
3-7 days,133,24.929252222222203,27.44253919298245,51.09252999999998
1-4 weeks,263,230.4543588888889,263.68634092015213,516.6721922222223
> 4 weeks,167,1092.4115811111112,1146.1994273519629,1732.073358888889
