threshold,n_samples,a_mae,a_mdae,a_sa,a_r2,a_pred25,b_mae,b_sa,b_r2,c_mae,c_sa,c_r2,c_pred25,a_vs_c_p,a_vs_c_sig,a_vs_b_p,a_vs_b_sig
14d,2957,71.62699791203748,40.044960255093045,7.765113251118527,-0.19469670551320784,10.81081081081081,73.29471638622228,5.617573509408913,-0.25138525882485596,71.596026542423,7.804995430354311,-0.19982854164155572,12.33108108108108,0.7231268357460521,no,0.007934594260507518,YES
30d,3649,127.08585413279309,62.42096911960178,14.97916751316961,-0.09711010744549808,12.602739726027398,133.38583797539604,10.764458688126044,-0.2042918775169449,127.08876544471637,14.97721983641962,-0.08994807843922237,12.73972602739726,0.7169236680521389,no,4.381478201134543e-05,YES
60d,4206,217.91949094709418,100.19602261013455,15.515954561007394,-0.14301959477067117,13.657957244655583,228.16060856532974,11.545630280031837,-0.224899897572574,217.86167277256837,15.538369780786997,-0.13767536235355204,14.014251781472684,0.5060470326551791,no,0.0003660339599048238,YES
90d,4479,316.59655369189994,132.47937222798663,16.12524413348474,-0.15130968239864506,11.049107142857142,332.30782917257335,11.962913937763597,-0.25864955399248113,314.6926443167811,16.629639813626827,-0.15317687858997298,11.049107142857142,0.023205923841687594,YES,7.752218507527691e-06,YES
no cap,4499,328.5159223599092,124.6508223470052,16.146304015254575,-0.14163767773516178,10.333333333333334,345.1976720233305,11.888287068247493,-0.22540072964994406,326.37898146639697,16.691758222571917,-0.13532719218386058,11.444444444444445,0.018920685038207683,YES,1.0133216206406923e-06,YES
